iteration,winner
1,BRA
2,ESP
3,URU
4,BRA
5,BRA
6,RUS
7,ARG
8,GER
9,TUN
10,CRO
11,BRA
12,ENG
13,ARG
14,SUI
15,MEX
16,NGA
17,FRA
18,POR
19,GER
20,NGA
21,ARG
22,URU
23,SRB
24,MEX
25,EGY
26,SRB
27,GER
28,POR
29,POR
30,GER
31,SUI
32,SUI
33,SRB
34,TUN
35,FRA
36,GER
37,SWE
38,CRO
39,ESP
40,RUS
41,BRA
42,CRO
43,SUI
44,SWE
45,FRA
46,GER
47,ESP
48,SUI
49,GER
50,SUI
51,BRA
52,RUS
53,ENG
54,BRA
55,POR
56,POL
57,GER
58,ENG
59,SWE
60,NGA
61,BEL
62,BEL
63,ENG
64,GER
65,ESP
66,RUS
67,POR
68,COL
69,CRC
70,ARG
71,ESP
72,BRA
73,BRA
74,BRA
75,POR
76,ENG
77,ENG
78,MEX
79,FRA
80,ESP
81,IRN
82,CRO
83,BEL
84,POR
85,SUI
86,ESP
87,DEN
88,JPN
89,ESP
90,SRB
91,ARG
92,BRA
93,BRA
94,ENG
95,ENG
96,BEL
97,GER
98,ESP
99,RUS
100,ISL
101,POR
102,POR
103,GER
104,POR
105,RUS
106,ESP
107,ENG
108,RUS
109,POR
110,GER
111,ENG
112,BRA
113,MEX
114,SWE
115,SUI
116,ENG
117,CRC
118,BRA
119,BEL
120,CRC
121,GER
122,POR
123,BRA
124,ENG
125,CRC
126,MEX
127,SWE
128,POR
129,GER
130,POR
131,ESP
132,POR
133,NGA
134,ESP
135,BRA
136,ENG
137,POR
138,POR
139,JPN
140,SUI
141,GER
142,GER
143,DEN
144,GER
145,BEL
146,BRA
147,GER
148,SUI
149,DEN
150,ENG
151,RUS
152,SRB
153,FRA
154,DEN
155,BRA
156,FRA
157,GER
158,GER
159,BEL
160,FRA
161,POR
162,GER
163,BRA
164,BRA
165,POR
166,SUI
167,SUI
168,ENG
169,SUI
170,POR
171,ENG
172,POR
173,GER
174,SWE
175,POR
176,ESP
177,FRA
178,ESP
179,POR
180,POR
181,FRA
182,POR
183,POL
184,POR
185,ARG
186,POR
187,ESP
188,POR
189,SUI
190,ARG
191,POR
192,URU
193,GER
194,GER
195,GER
196,BRA
197,CRO
198,ENG
199,NGA
200,SWE
201,GER
202,SWE
203,GER
204,SRB
205,FRA
206,GER
207,POR
208,CRO
209,GER
210,POR
211,SRB
212,GER
213,GER
214,GER
215,SUI
216,GER
217,SUI
218,BRA
219,SEN
220,KOR
221,FRA
222,MEX
223,ENG
224,POR
225,POR
226,ENG
227,SWE
228,ESP
229,URU
230,SUI
231,ESP
232,FRA
233,GER
234,BRA
235,RUS
236,ARG
237,GER
238,BRA
239,GER
240,BRA
241,GER
242,GER
243,ESP
244,ENG
245,ESP
246,GER
247,ARG
248,POR
249,GER
250,ESP
251,ESP
252,ESP
253,BRA
254,SUI
255,CRO
256,SUI
257,SWE
258,RUS
259,JPN
260,BEL
261,POR
262,FRA
263,SUI
264,SUI
265,ESP
266,MEX
267,FRA
268,DEN
269,ESP
270,GER
271,FRA
272,RUS
273,BRA
274,COL
275,POR
276,SUI
277,POR
278,RUS
279,SWE
280,ARG
281,BRA
282,URU
283,JPN
284,COL
285,POR
286,FRA
287,ESP
288,POR
289,ESP
290,POR
291,POR
292,POR
293,COL
294,BRA
295,DEN
296,POR
297,BRA
298,ARG
299,SUI
300,ENG
301,SUI
302,BEL
303,POR
304,DEN
305,GER
306,ENG
307,MEX
308,SRB
309,SUI
310,BRA
311,FRA
312,ESP
313,SRB
314,POR
315,DEN
316,GER
317,POR
318,GER
319,SUI
320,DEN
321,ARG
322,GER
323,NGA
324,ENG
325,POR
326,FRA
327,GER
328,FRA
329,RUS
330,POR
331,BRA
332,GER
333,BRA
334,BRA
335,GER
336,ESP
337,DEN
338,JPN
339,RUS
340,ESP
341,GER
342,COL
343,ENG
344,RUS
345,SRB
346,SUI
347,POR
348,GER
349,ESP
350,BRA
351,GER
352,SUI
353,ESP
354,FRA
355,CRO
356,GER
357,EGY
358,POR
359,POR
360,POR
361,ARG
362,DEN
363,GER
364,GER
365,ARG
366,POR
367,ENG
368,POR
369,GER
370,SUI
371,SUI
372,URU
373,ARG
374,GER
375,COL
376,FRA
377,RUS
378,SUI
379,BRA
380,IRN
381,CRO
382,BRA
383,POR
384,SUI
385,ENG
386,BRA
387,RUS
388,POR
389,BRA
390,BRA
391,POR
392,GER
393,GER
394,POR
395,BRA
396,BEL
397,DEN
398,ARG
399,ESP
400,SRB
401,BRA
402,SWE
403,RUS
404,POR
405,SWE
406,SRB
407,POR
408,GER
409,BRA
410,ESP
411,GER
412,BRA
413,POR
414,FRA
415,SUI
416,POR
417,SUI
418,ESP
419,FRA
420,GER
421,GER
422,ENG
423,GER
424,GER
425,SWE
426,FRA
427,CRO
428,ESP
429,SUI
430,POR
431,SUI
432,GER
433,DEN
434,RUS
435,FRA
436,URU
437,SUI
438,ENG
439,PER
440,BRA
441,GER
442,POL
443,ESP
444,SUI
445,BEL
446,FRA
447,FRA
448,RUS
449,GER
450,ESP
451,NGA
452,NGA
453,ENG
454,GER
455,BEL
456,SUI
457,BEL
458,COL
459,BRA
460,BEL
461,GER
462,BEL
463,ENG
464,BEL
465,POR
466,RUS
467,CRO
468,ENG
469,NGA
470,ARG
471,RUS
472,URU
473,CRO
474,GER
475,POR
476,SUI
477,SUI
478,ENG
479,SUI
480,POR
481,NGA
482,FRA
483,GER
484,ESP
485,POR
486,DEN
487,ESP
488,FRA
489,ARG
490,COL
491,BRA
492,URU
493,KOR
494,GER
495,DEN
496,CRC
497,SRB
498,POR
499,MEX
500,GER
501,POR
502,GER
503,POR
504,GER
505,BRA
506,AUS
507,SUI
508,ESP
509,GER
510,POR
511,BEL
512,POR
513,ARG
514,POL
515,ESP
516,SUI
517,GER
518,IRN
519,ESP
520,IRN
521,POL
522,GER
523,POR
524,FRA
525,BRA
526,NGA
527,GER
528,ESP
529,RUS
530,GER
531,IRN
532,BEL
533,URU
534,ARG
535,POR
536,MEX
537,POR
538,GER
539,POR
540,GER
